family_base,knob_variant,ratio_variant,pipeline,runs_total_x,infeasible_runs_x,feasible_runs_x,fallback_mean,fallback_sem,infeasible_rate_x,runs_total_y,infeasible_runs_y,feasible_runs_y,penalty_mean,penalty_sem,infeasible_rate_y,_x
baseline,midvar,off0_on100,CABFD+CostAwareBestFit,50,14,36,0.0,0.0,0.28,50,14,36,0.0,0.0,0.28,off0_on100
baseline,midvar,off0_on100,CABFD+PrimalDual,50,17,33,0.0,0.0,0.34,50,17,33,0.0,0.0,0.34,off0_on100
baseline,midvar,off0_on100,MILP(offSlack)+CostAwareBestFit,50,14,36,0.0,0.0,0.28,50,14,36,0.0,0.0,0.28,off0_on100
baseline,midvar,off0_on100,MILP(offSlack)+PrimalDual,50,17,33,0.0,0.0,0.34,50,17,33,0.0,0.0,0.34,off0_on100
baseline,midvar,off0_on100,MILP+CostAwareBestFit,50,14,36,0.0,0.0,0.28,50,14,36,0.0,0.0,0.28,off0_on100
baseline,midvar,off0_on100,MILP+PrimalDual,50,17,33,0.0,0.0,0.34,50,17,33,0.0,0.0,0.34,off0_on100
baseline,midvar,off0_on100,UtilizationPriced+CostAwareBestFit,50,14,36,0.0,0.0,0.28,50,14,36,0.0,0.0,0.28,off0_on100
baseline,midvar,off0_on100,UtilizationPriced+PrimalDual,50,17,33,0.0,0.0,0.34,50,17,33,0.0,0.0,0.34,off0_on100
baseline,midvar,off20_on80,CABFD+CostAwareBestFit,50,0,50,0.0,0.0,0.0,50,0,50,0.2,0.05714285714285715,0.0,off20_on80
baseline,midvar,off20_on80,CABFD+PrimalDual,50,0,50,0.0,0.0,0.0,50,0,50,0.34,0.0788177955664784,0.0,off20_on80
baseline,midvar,off20_on80,MILP(offSlack)+CostAwareBestFit,50,0,50,0.0,0.0,0.0,50,0,50,0.22,0.05917804336345138,0.0,off20_on80
baseline,midvar,off20_on80,MILP(offSlack)+PrimalDual,50,0,50,0.0,0.0,0.0,50,0,50,0.28,0.07021831844254005,0.0,off20_on80
baseline,midvar,off20_on80,MILP+CostAwareBestFit,50,0,50,0.0,0.0,0.0,50,0,50,0.2,0.05714285714285715,0.0,off20_on80
baseline,midvar,off20_on80,MILP+PrimalDual,50,0,50,0.0,0.0,0.0,50,0,50,0.34,0.0788177955664784,0.0,off20_on80
baseline,midvar,off20_on80,UtilizationPriced+CostAwareBestFit,50,0,50,0.0,0.0,0.0,50,0,50,0.24,0.06737043498600913,0.0,off20_on80
baseline,midvar,off20_on80,UtilizationPriced+PrimalDual,50,0,50,0.0,0.0,0.0,50,0,50,0.26,0.06266203485560373,0.0,off20_on80
