family_base,knob_variant,ratio_variant,pipeline,runs_total_x,infeasible_runs_x,feasible_runs_x,fallback_mean,fallback_sem,infeasible_rate_x,runs_total_y,infeasible_runs_y,feasible_runs_y,penalty_mean,penalty_sem,infeasible_rate_y,_x
graph,dense,off50_on50,CABFD+CostAwareBestFit,50,0,50,0.0,0.0,0.0,50,0,50,0.02,0.019999999999999993,0.0,dense
graph,dense,off50_on50,MILP(offSlack)+CostAwareBestFit,50,0,50,0.0,0.0,0.0,50,0,50,0.02,0.019999999999999993,0.0,dense
graph,dense,off50_on50,MILP(offSlack)+DynamicLearning,50,0,50,0.0,0.0,0.0,50,0,50,0.0,0.0,0.0,dense
graph,dense,off50_on50,MILP(offSlack)+PrimalDual,50,0,50,0.0,0.0,0.0,50,0,50,0.02,0.02,0.0,dense
graph,dense,off50_on50,MILP+DynamicLearning,50,0,50,0.0,0.0,0.0,50,0,50,0.0,0.0,0.0,dense
graph,dense,off50_on50,UtilizationPriced+CostAwareBestFit,50,0,50,0.0,0.0,0.0,50,0,50,0.02,0.019999999999999993,0.0,dense
graph,dense,off50_on50,UtilizationPriced+DynamicLearning,50,0,50,0.0,0.0,0.0,50,0,50,0.0,0.0,0.0,dense
graph,dense,off50_on50,UtilizationPriced+PrimalDual,50,0,50,0.0,0.0,0.0,50,0,50,0.02,0.019999999999999993,0.0,dense
graph,sparse,off50_on50,CABFD+CostAwareBestFit,50,0,50,0.0,0.0,0.0,50,0,50,4.92,0.40085622645247043,0.0,sparse
graph,sparse,off50_on50,MILP(offSlack)+CostAwareBestFit,50,0,50,0.0,0.0,0.0,50,0,50,3.92,0.31537473660678006,0.0,sparse
graph,sparse,off50_on50,MILP(offSlack)+DynamicLearning,50,0,50,0.0,0.0,0.0,50,0,50,2.06,0.22206820059226334,0.0,sparse
graph,sparse,off50_on50,MILP(offSlack)+PrimalDual,50,0,50,0.0,0.0,0.0,50,0,50,3.82,0.3315886313011398,0.0,sparse
graph,sparse,off50_on50,MILP+DynamicLearning,50,0,50,0.0,0.0,0.0,50,0,50,2.26,0.25684109277678974,0.0,sparse
graph,sparse,off50_on50,UtilizationPriced+CostAwareBestFit,50,0,50,0.0,0.0,0.0,50,0,50,2.84,0.2847985324429054,0.0,sparse
graph,sparse,off50_on50,UtilizationPriced+DynamicLearning,50,0,50,0.0,0.0,0.0,50,0,50,2.12,0.20130188518638326,0.0,sparse
graph,sparse,off50_on50,UtilizationPriced+PrimalDual,50,0,50,0.0,0.0,0.0,50,0,50,3.26,0.3127364411651655,0.0,sparse
