family_base,knob_variant,ratio_variant,pipeline,runs_total,infeasible_runs,feasible_runs,metric_mean,metric_sem,infeasible_rate,perf_mean,perf_sem,_x
load,overload,off50_on50,CABFD+CostAwareBestFit,50,2,48,1.3388644842730553,0.0026350568591223438,0.04,33.886448427305524,0.2635056859122344,overload
load,overload,off50_on50,MILP(offSlack)+CostAwareBestFit,50,0,50,1.1323026681621544,0.002277441901226865,0.0,13.23026681621544,0.2277441901226865,overload
load,overload,off50_on50,MILP(offSlack)+DynamicLearning,50,0,50,1.1466209026129444,0.002880573285274828,0.0,14.662090261294436,0.2880573285274828,overload
load,overload,off50_on50,MILP(offSlack)+PrimalDual,50,0,50,1.143478415812612,0.0030820735018001703,0.0,14.34784158126119,0.30820735018001705,overload
load,overload,off50_on50,MILP+CostAwareBestFit,50,2,48,1.3382954133981286,0.0026307764354443343,0.04,33.82954133981286,0.2630776435444334,overload
load,overload,off50_on50,UtilizationPriced+CostAwareBestFit,50,0,50,1.3299051134949846,0.003068996595477251,0.0,32.99051134949846,0.3068996595477251,overload
load,overload,off50_on50,UtilizationPriced+DynamicLearning,50,11,39,1.3833206998187475,0.004673499253732123,0.22,38.33206998187475,0.4673499253732123,overload
load,overload,off50_on50,UtilizationPriced+PrimalDual,50,6,44,1.3764227546364312,0.003949115737065541,0.12,37.64227546364312,0.3949115737065541,overload
load,underload,off50_on50,CABFD+CostAwareBestFit,50,0,50,1.00001609004139,4.244201493421494e-05,0.0,0.0016090041389915655,0.004244201493421494,underload
load,underload,off50_on50,MILP(offSlack)+CostAwareBestFit,50,0,50,1.00001609004139,4.244201493421864e-05,0.0,0.0016090041389915655,0.004244201493421864,underload
load,underload,off50_on50,MILP(offSlack)+DynamicLearning,50,0,50,1.0012811292488033,0.00015648698121178384,0.0,0.12811292488033033,0.015648698121178382,underload
load,underload,off50_on50,MILP(offSlack)+PrimalDual,50,0,50,1.0000169401445946,4.24390347005132e-05,0.0,0.0016940144594634887,0.00424390347005132,underload
load,underload,off50_on50,MILP+CostAwareBestFit,50,0,50,1.00001609004139,4.2442014934218634e-05,0.0,0.0016090041389915655,0.004244201493421864,underload
load,underload,off50_on50,UtilizationPriced+CostAwareBestFit,50,0,50,1.0009776431245088,7.103707784063349e-05,0.0,0.09776431245087647,0.00710370778406335,underload
load,underload,off50_on50,UtilizationPriced+DynamicLearning,50,0,50,1.0021737293551063,0.0001638259960545185,0.0,0.21737293551062908,0.01638259960545185,underload
load,underload,off50_on50,UtilizationPriced+PrimalDual,50,0,50,1.0009776431245088,7.103707784063349e-05,0.0,0.09776431245087647,0.00710370778406335,underload
