pipeline,variant,bin_idx,used_mean,used_sem,samples
MILP(offSlack)+CostAwareBestFit,dense,0,88.60322955376449,1.7422649119982905,50
MILP(offSlack)+CostAwareBestFit,dense,1,88.50718153215837,1.5430440293352896,50
MILP(offSlack)+CostAwareBestFit,dense,2,88.91037342904572,1.4857115733656872,50
MILP(offSlack)+CostAwareBestFit,dense,3,91.76785915687715,1.1714093201571447,50
MILP(offSlack)+CostAwareBestFit,dense,4,91.42833529473508,1.1946472008151465,50
MILP(offSlack)+CostAwareBestFit,dense,5,88.75309297995014,1.405565369083337,50
MILP(offSlack)+CostAwareBestFit,dense,6,92.79861409283211,1.0282974179535667,50
MILP(offSlack)+CostAwareBestFit,dense,7,91.33976599219746,1.434210794996954,50
MILP(offSlack)+CostAwareBestFit,dense,8,90.18983596253591,1.3167330929906547,50
MILP(offSlack)+CostAwareBestFit,dense,9,88.24019595222646,1.463340648233237,50
MILP(offSlack)+CostAwareBestFit,dense,10,0.0,0.0,50
MILP(offSlack)+CostAwareBestFit,sparse,0,89.91503552970148,1.3296338753536414,50
MILP(offSlack)+CostAwareBestFit,sparse,1,91.5468784300233,1.1560589462253081,50
MILP(offSlack)+CostAwareBestFit,sparse,2,92.13983191343581,1.2525836518480549,50
MILP(offSlack)+CostAwareBestFit,sparse,3,90.8783494171632,1.2696033945624783,50
MILP(offSlack)+CostAwareBestFit,sparse,4,89.41155131621093,1.3322100929018827,50
MILP(offSlack)+CostAwareBestFit,sparse,5,86.7745241101107,1.3606536603670039,50
MILP(offSlack)+CostAwareBestFit,sparse,6,89.92641933517262,1.2145804536266438,50
MILP(offSlack)+CostAwareBestFit,sparse,7,89.97716503330383,1.396478339715778,50
MILP(offSlack)+CostAwareBestFit,sparse,8,89.54561618656221,1.6242478657501447,50
MILP(offSlack)+CostAwareBestFit,sparse,9,90.88158770519357,1.3129601249413556,50
MILP(offSlack)+CostAwareBestFit,sparse,10,0.0,0.0,50
MILP(offSlack)+DynamicLearning,dense,0,89.54630928659832,1.3840609448111698,50
MILP(offSlack)+DynamicLearning,dense,1,89.00139772541475,1.4110658762196977,50
MILP(offSlack)+DynamicLearning,dense,2,89.35262543280297,1.4241636283333732,50
MILP(offSlack)+DynamicLearning,dense,3,89.53559733594128,1.3197086536259737,50
MILP(offSlack)+DynamicLearning,dense,4,89.37643392119709,1.387839040428814,50
MILP(offSlack)+DynamicLearning,dense,5,89.44073513543017,1.3226253277414146,50
MILP(offSlack)+DynamicLearning,dense,6,91.32498154292541,1.190118313015798,50
MILP(offSlack)+DynamicLearning,dense,7,92.16400447980801,1.0046169603946367,50
MILP(offSlack)+DynamicLearning,dense,8,90.99406998260197,1.0958451020564628,50
MILP(offSlack)+DynamicLearning,dense,9,89.78026823972941,1.309855092797735,50
MILP(offSlack)+DynamicLearning,dense,10,0.0,0.0,50
MILP(offSlack)+DynamicLearning,sparse,0,89.74674334178631,1.3402881615579696,50
MILP(offSlack)+DynamicLearning,sparse,1,89.76844499608262,1.2339887754192567,50
MILP(offSlack)+DynamicLearning,sparse,2,92.13892611305764,1.0406313636097577,50
MILP(offSlack)+DynamicLearning,sparse,3,90.83314031756545,1.1091743851106792,50
MILP(offSlack)+DynamicLearning,sparse,4,91.33671069863455,1.0782498242025806,50
MILP(offSlack)+DynamicLearning,sparse,5,89.90629159418188,1.1990019634100142,50
MILP(offSlack)+DynamicLearning,sparse,6,88.99534089394767,1.2776762193403448,50
MILP(offSlack)+DynamicLearning,sparse,7,89.67941468935346,1.178433338715488,50
MILP(offSlack)+DynamicLearning,sparse,8,88.52259172137816,1.5072596508059293,50
MILP(offSlack)+DynamicLearning,sparse,9,90.05434081934774,1.1855001462528532,50
MILP(offSlack)+DynamicLearning,sparse,10,0.0,0.0,50
MILP(offSlack)+PrimalDual,dense,0,87.66516740939737,1.8705397174051341,50
MILP(offSlack)+PrimalDual,dense,1,89.12766241351575,1.4896802282712363,50
MILP(offSlack)+PrimalDual,dense,2,89.12839641615223,1.5058853251232194,50
MILP(offSlack)+PrimalDual,dense,3,91.88678666333297,1.2049164131955268,50
MILP(offSlack)+PrimalDual,dense,4,92.11777225511048,1.2025785293161972,50
MILP(offSlack)+PrimalDual,dense,5,88.4611542590814,1.648305754535959,50
MILP(offSlack)+PrimalDual,dense,6,92.33489953762164,1.1536933083898189,50
MILP(offSlack)+PrimalDual,dense,7,91.04108023185655,1.5742672807957807,50
MILP(offSlack)+PrimalDual,dense,8,90.46369327764906,1.3513522167236744,50
MILP(offSlack)+PrimalDual,dense,9,88.30514080489965,1.5156552701597044,50
MILP(offSlack)+PrimalDual,dense,10,0.0,0.0,50
MILP(offSlack)+PrimalDual,sparse,0,89.24676684375358,1.3236470829241398,50
MILP(offSlack)+PrimalDual,sparse,1,91.00666190260827,1.1610846688617622,50
