pipeline,variant,bin_idx,used_mean,used_sem,samples
CABFD+CostAwareBestFit,beta11_same_load,0,17.874275666040134,1.001414024948375,50
CABFD+CostAwareBestFit,beta11_same_load,1,18.32726219680815,1.0361449883098304,50
CABFD+CostAwareBestFit,beta11_same_load,2,17.249945739982735,1.1104066952584182,50
CABFD+CostAwareBestFit,beta11_same_load,3,18.97044479835295,1.1557831258531706,50
CABFD+CostAwareBestFit,beta11_same_load,4,17.616811407612783,1.0071859413091448,50
CABFD+CostAwareBestFit,beta11_same_load,5,19.302387183455423,1.2269796971591982,50
CABFD+CostAwareBestFit,beta11_same_load,6,17.25322610916677,1.030223927531357,50
CABFD+CostAwareBestFit,beta11_same_load,7,17.498927649477785,1.0267491410057041,50
CABFD+CostAwareBestFit,beta11_same_load,8,17.974924178616472,1.0719774432257563,50
CABFD+CostAwareBestFit,beta11_same_load,9,16.97029742458151,0.9029105536640321,50
CABFD+CostAwareBestFit,beta11_same_load,10,0.0,0.0,50
CABFD+PrimalDual,beta11_same_load,0,17.874275666040134,1.0014140249483745,50
CABFD+PrimalDual,beta11_same_load,1,18.32726219680815,1.0361449883098306,50
CABFD+PrimalDual,beta11_same_load,2,17.249945739982735,1.1104066952584182,50
CABFD+PrimalDual,beta11_same_load,3,18.97044479835295,1.1557831258531708,50
CABFD+PrimalDual,beta11_same_load,4,17.616811407612783,1.0071859413091448,50
CABFD+PrimalDual,beta11_same_load,5,19.302387183455423,1.2269796971591977,50
CABFD+PrimalDual,beta11_same_load,6,17.25322610916677,1.030223927531357,50
CABFD+PrimalDual,beta11_same_load,7,17.498927649477785,1.0267491410057041,50
CABFD+PrimalDual,beta11_same_load,8,17.974924178616472,1.071977443225756,50
CABFD+PrimalDual,beta11_same_load,9,16.97029742458151,0.9029105536640321,50
CABFD+PrimalDual,beta11_same_load,10,0.0,0.0,50
MILP(offSlack)+CostAwareBestFit,beta11_same_load,0,17.874275666040134,1.0014140249483745,50
MILP(offSlack)+CostAwareBestFit,beta11_same_load,1,18.32726219680815,1.0361449883098306,50
MILP(offSlack)+CostAwareBestFit,beta11_same_load,2,17.249945739982735,1.110406695258418,50
MILP(offSlack)+CostAwareBestFit,beta11_same_load,3,18.97044479835295,1.1557831258531706,50
MILP(offSlack)+CostAwareBestFit,beta11_same_load,4,17.616811407612783,1.0071859413091448,50
MILP(offSlack)+CostAwareBestFit,beta11_same_load,5,19.302387183455423,1.2269796971591977,50
