pipeline,variant,bin_idx,used_mean,used_sem,samples
MILP(offSlack)+CostAwareBestFit,highvar,0,45.39574393792891,1.1379993897079659,50
MILP(offSlack)+CostAwareBestFit,highvar,1,45.45932352004722,1.10569312522057,50
MILP(offSlack)+CostAwareBestFit,highvar,2,44.65184451299463,1.1313866281667615,50
MILP(offSlack)+CostAwareBestFit,highvar,3,44.18734977615152,1.225430337342435,50
MILP(offSlack)+CostAwareBestFit,highvar,4,45.64583911557832,1.0373631243814114,50
MILP(offSlack)+CostAwareBestFit,highvar,5,44.17485772237724,1.2808673384561413,50
MILP(offSlack)+CostAwareBestFit,highvar,6,46.11965267688117,1.2025253684665997,50
MILP(offSlack)+CostAwareBestFit,highvar,7,46.69778062184603,1.26453927813588,50
MILP(offSlack)+CostAwareBestFit,highvar,8,43.45809107941737,1.3636829352745794,50
MILP(offSlack)+CostAwareBestFit,highvar,9,42.97615325902313,1.1963882497100409,50
MILP(offSlack)+CostAwareBestFit,highvar,10,0.0,0.0,50
MILP(offSlack)+CostAwareBestFit,lowvar,0,42.554447624576504,1.3359430060620414,50
MILP(offSlack)+CostAwareBestFit,lowvar,1,43.94294916094246,1.0058499162817451,50
MILP(offSlack)+CostAwareBestFit,lowvar,2,45.73073744219665,1.2397891756783082,50
MILP(offSlack)+CostAwareBestFit,lowvar,3,45.64398112802839,1.1281027727495092,50
MILP(offSlack)+CostAwareBestFit,lowvar,4,45.72518636636434,1.1382441309567344,50
MILP(offSlack)+CostAwareBestFit,lowvar,5,44.21118013431862,1.142518321684955,50
MILP(offSlack)+CostAwareBestFit,lowvar,6,46.12709250424412,0.9821532061232452,50
MILP(offSlack)+CostAwareBestFit,lowvar,7,45.18401320770156,1.05975366425357,50
MILP(offSlack)+CostAwareBestFit,lowvar,8,45.36070950450641,1.1032825807062427,50
MILP(offSlack)+CostAwareBestFit,lowvar,9,45.61235183316438,1.2061874564671282,50
MILP(offSlack)+CostAwareBestFit,lowvar,10,0.0,0.0,50
MILP(offSlack)+PrimalDual,highvar,0,45.39574393792891,1.1379993897079659,50
MILP(offSlack)+PrimalDual,highvar,1,45.45932352004722,1.10569312522057,50
MILP(offSlack)+PrimalDual,highvar,2,44.65184451299463,1.1313866281667615,50
MILP(offSlack)+PrimalDual,highvar,3,44.18734977615152,1.2254303373424347,50
MILP(offSlack)+PrimalDual,highvar,4,45.64583911557832,1.0373631243814114,50
MILP(offSlack)+PrimalDual,highvar,5,44.17485772237724,1.2808673384561413,50
MILP(offSlack)+PrimalDual,highvar,6,46.11965267688117,1.2025253684665995,50
MILP(offSlack)+PrimalDual,highvar,7,46.69778062184603,1.2645392781358802,50
MILP(offSlack)+PrimalDual,highvar,8,43.45809107941737,1.3636829352745794,50
MILP(offSlack)+PrimalDual,highvar,9,42.97615325902313,1.1963882497100407,50
MILP(offSlack)+PrimalDual,highvar,10,0.0,0.0,50
MILP(offSlack)+PrimalDual,lowvar,0,42.554447624576504,1.3359430060620414,50
MILP(offSlack)+PrimalDual,lowvar,1,43.94294916094246,1.0058499162817451,50
MILP(offSlack)+PrimalDual,lowvar,2,45.73073744219665,1.239789175678308,50
MILP(offSlack)+PrimalDual,lowvar,3,45.64398112802839,1.1281027727495092,50
MILP(offSlack)+PrimalDual,lowvar,4,45.72518636636434,1.1382441309567344,50
MILP(offSlack)+PrimalDual,lowvar,5,44.21118013431862,1.142518321684955,50
MILP(offSlack)+PrimalDual,lowvar,6,46.12709250424412,0.9821532061232451,50
MILP(offSlack)+PrimalDual,lowvar,7,45.18401320770156,1.0597536642535699,50
MILP(offSlack)+PrimalDual,lowvar,8,45.36070950450641,1.1032825807062425,50
MILP(offSlack)+PrimalDual,lowvar,9,45.61235183316438,1.2061874564671282,50
MILP(offSlack)+PrimalDual,lowvar,10,0.0,0.0,50
MILP+CostAwareBestFit,highvar,0,44.32025183540047,1.4976483088053096,50
MILP+CostAwareBestFit,highvar,1,46.31094392059292,1.7001426373852464,50
MILP+CostAwareBestFit,highvar,2,44.25048874846416,1.448977370248329,50
MILP+CostAwareBestFit,highvar,3,43.95126432819655,1.7912472913056665,50
MILP+CostAwareBestFit,highvar,4,46.217062707116554,1.4991188810759,50
MILP+CostAwareBestFit,highvar,5,42.977010517143135,1.7480914077247354,50
MILP+CostAwareBestFit,highvar,6,47.534463154472405,1.8924236577662534,50
MILP+CostAwareBestFit,highvar,7,46.212500434068396,1.681387043827204,50
MILP+CostAwareBestFit,highvar,8,43.96776422349845,1.840517393486887,50
MILP+CostAwareBestFit,highvar,9,43.03469031506242,1.639169265235732,50
MILP+CostAwareBestFit,highvar,10,0.0,0.0,50
MILP+CostAwareBestFit,lowvar,0,42.91149830218585,1.655206115210361,50
MILP+CostAwareBestFit,lowvar,1,42.399175208042536,1.2873359445749468,50
MILP+CostAwareBestFit,lowvar,2,45.90871788107415,1.6993903285203642,50
MILP+CostAwareBestFit,lowvar,3,46.170364613351175,1.6907202320556671,50
MILP+CostAwareBestFit,lowvar,4,45.87593537580117,1.4600991115599367,50
MILP+CostAwareBestFit,lowvar,5,43.52704994753117,1.3865428920576048,50
MILP+CostAwareBestFit,lowvar,6,45.394016217464944,1.425258820087504,50
MILP+CostAwareBestFit,lowvar,7,44.14891727746427,1.320644295052894,50
MILP+CostAwareBestFit,lowvar,8,46.95522786073556,1.7941869514372228,50
MILP+CostAwareBestFit,lowvar,9,46.79939275810577,1.764436432223378,50
MILP+CostAwareBestFit,lowvar,10,0.0,0.0,50
MILP+DynamicLearning,highvar,0,44.32025183540047,1.4976483088053096,50
MILP+DynamicLearning,highvar,1,46.31094392059292,1.7001426373852464,50
MILP+DynamicLearning,highvar,2,44.25048874846416,1.448977370248329,50
MILP+DynamicLearning,highvar,3,43.95126432819655,1.791247291305666,50
MILP+DynamicLearning,highvar,4,46.217062707116554,1.4991188810759,50
MILP+DynamicLearning,highvar,5,42.977010517143135,1.7480914077247354,50
MILP+DynamicLearning,highvar,6,47.534463154472405,1.8924236577662537,50
MILP+DynamicLearning,highvar,7,46.212500434068396,1.681387043827204,50
MILP+DynamicLearning,highvar,8,43.96776422349845,1.8405173934868873,50
MILP+DynamicLearning,highvar,9,43.03469031506242,1.639169265235732,50
MILP+DynamicLearning,highvar,10,0.0,0.0,50
MILP+DynamicLearning,lowvar,0,42.91149830218585,1.6552061152103608,50
MILP+DynamicLearning,lowvar,1,42.399175208042536,1.2873359445749468,50
MILP+DynamicLearning,lowvar,2,45.90871788107415,1.6993903285203642,50
MILP+DynamicLearning,lowvar,3,46.170364613351175,1.6907202320556671,50
MILP+DynamicLearning,lowvar,4,45.87593537580117,1.4600991115599367,50
MILP+DynamicLearning,lowvar,5,43.52704994753117,1.3865428920576044,50
MILP+DynamicLearning,lowvar,6,45.394016217464944,1.425258820087504,50
MILP+DynamicLearning,lowvar,7,44.14891727746427,1.320644295052894,50
MILP+DynamicLearning,lowvar,8,46.95522786073556,1.7941869514372228,50
MILP+DynamicLearning,lowvar,9,46.799392758105775,1.764436432223378,50
MILP+DynamicLearning,lowvar,10,0.0,0.0,50
MILP+PrimalDual,highvar,0,44.32025183540047,1.4976483088053096,50
MILP+PrimalDual,highvar,1,46.31094392059292,1.7001426373852464,50
MILP+PrimalDual,highvar,2,44.25048874846416,1.448977370248329,50
MILP+PrimalDual,highvar,3,43.95126432819655,1.791247291305666,50
MILP+PrimalDual,highvar,4,46.217062707116554,1.4991188810759,50
MILP+PrimalDual,highvar,5,42.977010517143135,1.7480914077247354,50
MILP+PrimalDual,highvar,6,47.534463154472405,1.8924236577662537,50
MILP+PrimalDual,highvar,7,46.212500434068396,1.681387043827204,50
MILP+PrimalDual,highvar,8,43.96776422349845,1.8405173934868873,50
MILP+PrimalDual,highvar,9,43.03469031506242,1.639169265235732,50
MILP+PrimalDual,highvar,10,0.0,0.0,50
MILP+PrimalDual,lowvar,0,42.91149830218585,1.6552061152103608,50
MILP+PrimalDual,lowvar,1,42.399175208042536,1.2873359445749468,50
MILP+PrimalDual,lowvar,2,45.90871788107415,1.6993903285203642,50
MILP+PrimalDual,lowvar,3,46.170364613351175,1.6907202320556667,50
MILP+PrimalDual,lowvar,4,45.87593537580117,1.4600991115599367,50
MILP+PrimalDual,lowvar,5,43.52704994753117,1.3865428920576044,50
MILP+PrimalDual,lowvar,6,45.394016217464944,1.425258820087504,50
MILP+PrimalDual,lowvar,7,44.14891727746427,1.320644295052894,50
MILP+PrimalDual,lowvar,8,46.95522786073556,1.794186951437223,50
MILP+PrimalDual,lowvar,9,46.799392758105775,1.7644364322233783,50
MILP+PrimalDual,lowvar,10,0.0,0.0,50
UtilizationPriced+CostAwareBestFit,highvar,0,45.54277656950298,0.6603835891031989,50
UtilizationPriced+CostAwareBestFit,highvar,1,45.2782797448829,0.7901669220745315,50
UtilizationPriced+CostAwareBestFit,highvar,2,44.38592380133762,0.6899818724547445,50
UtilizationPriced+CostAwareBestFit,highvar,3,44.1741870962585,0.7710202075606686,50
UtilizationPriced+CostAwareBestFit,highvar,4,45.11327557659886,0.7253439526362518,50
UtilizationPriced+CostAwareBestFit,highvar,5,44.54329479447099,0.8917566715143636,50
UtilizationPriced+CostAwareBestFit,highvar,6,45.680228760749834,0.797405812223594,50
UtilizationPriced+CostAwareBestFit,highvar,7,45.588137436376776,0.7926599273165772,50
UtilizationPriced+CostAwareBestFit,highvar,8,44.67282993320808,0.874370900730858,50
UtilizationPriced+CostAwareBestFit,highvar,9,43.78122558012277,0.8232621847015751,50
UtilizationPriced+CostAwareBestFit,highvar,10,0.0,0.0,50
UtilizationPriced+CostAwareBestFit,lowvar,0,43.30973253219547,0.7386666681899012,50
UtilizationPriced+CostAwareBestFit,lowvar,1,44.951800719260575,0.6504358431109144,50
UtilizationPriced+CostAwareBestFit,lowvar,2,45.284440704326215,0.8706138807032318,50
UtilizationPriced+CostAwareBestFit,lowvar,3,45.37471762158274,0.7263086191723925,50
UtilizationPriced+CostAwareBestFit,lowvar,4,45.00896088010449,0.638728036195428,50
UtilizationPriced+CostAwareBestFit,lowvar,5,45.154570992647535,0.6507083311352557,50
UtilizationPriced+CostAwareBestFit,lowvar,6,45.71618705328098,0.5715933740476565,50
