epsilon,min_phase_len,use_offline_slack,horizon,m_off,m_onl,seed_count,total_objective_mean,offline_failures,online_failures,valid
0.01,1,True,60,0,60,50,89.98656407402042,0,0,True
0.01,1,True,100,0,100,50,150.15165069020367,0,0,True
0.01,1,True,150,0,150,50,225.00211902186808,0,0,True
0.01,1,False,60,0,60,50,89.98656407402042,0,0,True
0.01,1,False,100,0,100,50,150.15165069020367,0,0,True
0.01,1,False,150,0,150,50,225.00211902186808,0,0,True
0.01,5,True,60,0,60,50,89.96217917046418,0,0,True
0.01,5,True,100,0,100,50,150.04084479334742,0,0,True
0.01,5,True,150,0,150,50,224.7715784212522,0,0,True
0.01,5,False,60,0,60,50,89.96217917046418,0,0,True
0.01,5,False,100,0,100,50,150.04084479334742,0,0,True
0.01,5,False,150,0,150,50,224.7715784212522,0,0,True
0.01,10,True,60,0,60,50,89.96217917046418,0,0,True
0.01,10,True,100,0,100,50,150.01982892148965,0,0,True
0.01,10,True,150,0,150,50,224.69465858894165,0,0,True
0.01,10,False,60,0,60,50,89.96217917046418,0,0,True
0.01,10,False,100,0,100,50,150.01982892148965,0,0,True
0.01,10,False,150,0,150,50,224.69465858894165,0,0,True
0.01,20,True,60,0,60,50,89.96217917046418,0,0,True
0.01,20,True,100,0,100,50,150.0151250936992,0,0,True
0.01,20,True,150,0,150,50,224.6382037916817,0,0,True
0.01,20,False,60,0,60,50,89.96217917046418,0,0,True
0.01,20,False,100,0,100,50,150.0151250936992,0,0,True
0.01,20,False,150,0,150,50,224.6382037916817,0,0,True
0.01,25,True,60,0,60,50,89.96217917046418,0,0,True
0.01,25,True,100,0,100,50,150.0151250936992,0,0,True
0.01,25,True,150,0,150,50,224.6216274649956,0,0,True
0.01,25,False,60,0,60,50,89.96217917046418,0,0,True
0.01,25,False,100,0,100,50,150.0151250936992,0,0,True
0.01,25,False,150,0,150,50,224.6216274649956,0,0,True
0.01,30,True,60,0,60,50,89.96217917046418,0,0,True
0.01,30,True,100,0,100,50,150.0151250936992,0,0,True
0.01,30,True,150,0,150,50,224.63008087271493,0,0,True
0.01,30,False,60,0,60,50,89.96217917046418,0,0,True
0.01,30,False,100,0,100,50,150.0151250936992,0,0,True
0.01,30,False,150,0,150,50,224.63008087271493,0,0,True
0.05,1,True,60,0,60,50,89.97186674690025,0,0,True
0.05,1,True,100,0,100,50,150.0647624846672,0,0,True
0.05,1,True,150,0,150,50,224.86129865194508,0,0,True
0.05,1,False,60,0,60,50,89.97186674690025,0,0,True
0.05,1,False,100,0,100,50,150.0647624846672,0,0,True
0.05,1,False,150,0,150,50,224.86129865194508,0,0,True
0.05,5,True,60,0,60,50,89.96408386313516,0,0,True
0.05,5,True,100,0,100,50,150.0647624846672,0,0,True
0.05,5,True,150,0,150,50,224.86129865194508,0,0,True
0.05,5,False,60,0,60,50,89.96408386313516,0,0,True
0.05,5,False,100,0,100,50,150.0647624846672,0,0,True
