update_rule,price_exponent,exp_rate,vector_prices,offline_ratio,total_horizon,m_onl,pipeline_count,valid_pipeline_count,total_objective_mean,valid
polynomial,0.005,,True,0.8,300,60,2,0,,False
polynomial,0.01,,True,0.8,300,60,2,0,,False
polynomial,0.05,,True,0.8,300,60,2,0,,False
polynomial,0.1,,True,0.8,300,60,2,0,,False
polynomial,0.25,,True,0.8,300,60,2,0,,False
polynomial,0.5,,True,0.8,300,60,2,0,,False
polynomial,1.0,,True,0.8,300,60,2,0,,False
polynomial,1.5,,True,0.8,300,60,2,0,,False
polynomial,2.0,,True,0.8,300,60,2,0,,False
polynomial,3.0,,True,0.8,300,60,2,0,,False
polynomial,4.0,,True,0.8,300,60,2,0,,False
polynomial,6.0,,True,0.8,300,60,2,0,,False
exponential,,0.5,True,0.8,300,60,2,0,,False
exponential,,1.0,True,0.8,300,60,2,0,,False
exponential,,1.5,True,0.8,300,60,2,0,,False
exponential,,2.0,True,0.8,300,60,2,0,,False
exponential,,3.0,True,0.8,300,60,2,0,,False
exponential,,4.0,True,0.8,300,60,2,0,,False
exponential,,5.0,True,0.8,300,60,2,0,,False
exponential,,6.0,True,0.8,300,60,2,0,,False
