update_rule,price_exponent,exp_rate,vector_prices,offline_ratio,total_horizon,m_onl,pipeline_count,valid_pipeline_count,online_failures_total,online_failures_max,offline_failures_total,offline_failures_max,total_objective_mean,valid
polynomial,0.005,,True,0.8,300,60,2,1,21,13,0,0,,False
polynomial,0.01,,True,0.8,300,60,2,1,21,13,0,0,,False
polynomial,0.05,,True,0.8,300,60,2,1,21,13,0,0,,False
polynomial,0.1,,True,0.8,300,60,2,1,22,13,0,0,,False
polynomial,0.25,,True,0.8,300,60,2,1,22,13,0,0,,False
polynomial,0.5,,True,0.8,300,60,2,1,20,12,0,0,,False
polynomial,1.0,,True,0.8,300,60,2,1,24,14,0,0,,False
polynomial,1.5,,True,0.8,300,60,2,1,21,13,0,0,,False
polynomial,2.0,,True,0.8,300,60,2,1,19,12,0,0,,False
polynomial,3.0,,True,0.8,300,60,2,1,19,12,0,0,,False
polynomial,4.0,,True,0.8,300,60,2,1,20,12,0,0,,False
polynomial,6.0,,True,0.8,300,60,2,1,20,13,0,0,,False
exponential,,0.5,True,0.8,300,60,2,1,20,12,0,0,,False
exponential,,1.0,True,0.8,300,60,2,2,18,10,0,0,422.19536227279707,True
exponential,,1.5,True,0.8,300,60,2,2,13,7,0,0,421.2765628220938,True
exponential,,2.0,True,0.8,300,60,2,2,17,9,0,0,420.93898968773135,True
exponential,,3.0,True,0.8,300,60,2,2,7,4,0,0,420.80976090081435,True
exponential,,4.0,True,0.8,300,60,2,2,2,1,0,0,422.0104334312641,True
exponential,,5.0,True,0.8,300,60,2,2,4,2,0,0,424.2229853453373,True
exponential,,6.0,True,0.8,300,60,2,2,6,3,0,0,428.25959476169214,True
